"                     ","","---------------------------------------------------------------------------------------","","ט2","","י1","","","","י2","","","","י3","","","","","יא1","","","יא2","","","יא3","","","","יב1","","","יב3","",""
"מגמות:            ע.שיער: מאיה                                 שי                          אוטו-אביעד סדנא
                      ","","","מגמות:            ע.שיער: מאיה                                 שי                          אוטו-אביעד סדנא
                      ","","","הבעה עברית רעיה/ ","","","","אסטרטגיות למידה יעל ומשה","","","","עברית אושר","","","","","מתמטקיה   רווית. שירלי פאנה וברוק","","","יום תעסוקה","","","מתמטיקה ויקי","","","תנ""ך  יואב","","תעסוקה","","מתמטיקה ויקי","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","צופיה:   חדר  מוסיקה                מטיאס בחדרו                     נויה בחדק ניו מדיה"
"מגמות:            ע.שיער: מאיה                                 שי                          אוטו-אביעד סדנא
                      ","","","מגמות:            ע.שיער: מאיה                                 שי                          אוטו-אביעד סדנא
                      ","","","הבעה עברית רעיה/ ","","","","אסטרטגיות למידה יעל ומשה","","","","עברית אושר","","","","","מתמטקיה   רווית. שירלי פאנה וברוק","","","","","","מתמטיקה ויקי","","","תנ""ך  יואב","","","","מתמטיקה ויקי","",""
"גיא","","","עברית אושר.  פרטני אליאל","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8 יעל פרטני ניתאי","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","","תנ""ך  יואב","","","צהי+ משה/  נעמה וליאת                
                
                ","","","לשון           אפרת  ו  11","","","ספרות ויקי","","","","שירלי שחר","",""
"מתמטיקה   אושרפרטני אליאל","","","גיא","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","","תנ""ך  יואב","","","רעיה + אושר+ משה","","","לשון           אפרת  ו  11","","","ספרות ויקי","","","","שירלי שחר","",""
"כישורי חיים צהי  ומשה","","","עברית אושר","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","","מעגלים  יעל ואפרת+ מעגליפ","","","","","","תנ""ך  אליאל","","","תנ""ך  יואב","","","","חינוך   מנו","",""
"חינוך משה","","","מתמצטיקה   אושר","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","מגמות:            ע.שיער: פרלה6  מאיה                                 שי                          אוטו-אביעד חדר8","","","","","לשון           אפרת  ו  11","","","","","","תנ""ך  אליאל","","","תנ""ך  יואב","","","","כישורי חיים מנו וצהי","",""
"היסטוריה אליאל","","","אנגלית - יעל","","","יואב- מבוא לטכנולוגיה","","","","","","","","יואב מבוא לטכנולוגיה","","","","","לשון           אפרת  ו  11","","","","","","מתמטיקה ויקי","","","","","","","","",""
